num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
331,62.5,12.5,0,25,0,37.5,50,62.5,0,0
332,62.5,12.5,0,25,0,37.5,50,62.5,0,0
333,62.5,12.5,0,25,0,37.5,50,62.5,0,0
334,62.5,12.5,0,25,0,37.5,50,62.5,0,0
335,62.5,12.5,0,25,0,37.5,50,62.5,0,0
336,62.5,12.5,0,25,0,37.5,50,62.5,0,0
337,62.5,12.5,0,25,0,37.5,50,62.5,0,0
338,62.5,12.5,0,25,0,37.5,50,62.5,0,0
339,62.5,12.5,0,25,0,37.5,50,62.5,0,0
340,62.5,12.5,0,25,0,37.5,50,62.5,0,0
341,62.5,12.5,0,25,0,37.5,50,62.5,0,0
342,62.5,12.5,0,25,0,37.5,50,62.5,0,0
343,62.5,12.5,0,25,0,37.5,50,62.5,0,0
344,62.5,12.5,0,25,0,37.5,50,62.5,0,0
345,62.5,12.5,0,25,0,37.5,50,62.5,0,0
346,62.5,12.5,0,25,0,37.5,50,62.5,0,0
347,62.5,12.5,0,25,0,37.5,50,62.5,0,0
348,62.5,12.5,0,25,0,37.5,50,62.5,0,0
349,62.5,12.5,0,25,0,37.5,50,62.5,0,0
350,62.5,12.5,0,25,0,37.5,50,62.5,0,0
351,62.5,12.5,0,25,0,37.5,50,62.5,0,0
352,62.5,12.5,0,25,0,37.5,50,62.5,0,0
353,62.5,12.5,0,25,0,37.5,50,62.5,0,0
354,62.5,12.5,0,25,0,37.5,50,62.5,0,0
355,62.5,12.5,0,25,0,37.5,50,62.5,0,0
356,62.5,12.5,0,25,0,37.5,50,62.5,0,0
357,62.5,12.5,0,25,0,37.5,50,62.5,0,0
358,62.5,12.5,0,25,0,37.5,50,62.5,0,0
359,62.5,12.5,0,25,0,37.5,50,62.5,0,0
360,62.5,12.5,0,25,0,37.5,50,62.5,0,0
361,62.5,12.5,0,25,0,37.5,50,62.5,0,0
362,62.5,12.5,0,25,0,37.5,50,62.5,0,0
363,62.5,12.5,0,25,0,37.5,50,62.5,0,0
364,62.5,12.5,0,25,0,37.5,50,62.5,0,0
365,62.5,12.5,0,25,0,37.5,50,62.5,0,0
366,62.5,12.5,0,25,0,37.5,50,62.5,0,0
367,62.5,12.5,0,25,0,37.5,50,62.5,0,0
368,62.5,12.5,0,25,0,37.5,50,62.5,0,0
369,62.5,12.5,0,25,0,37.5,50,62.5,0,0
370,62.5,12.5,0,25,0,37.5,50,62.5,0,0
371,62.5,12.5,0,25,0,37.5,50,62.5,0,0
372,62.5,12.5,0,25,0,37.5,50,62.5,0,0
373,62.5,12.5,0,25,0,37.5,50,62.5,0,0
374,62.5,12.5,0,25,0,37.5,50,62.5,0,0
375,62.5,12.5,0,25,0,37.5,50,62.5,0,0
376,62.5,12.5,0,25,0,37.5,50,62.5,0,0
377,62.5,12.5,0,25,0,37.5,50,62.5,0,0
378,62.5,12.5,0,25,0,37.5,50,62.5,0,0
379,62.5,12.5,0,25,0,37.5,50,62.5,0,0
380,62.5,12.5,0,25,0,37.5,50,62.5,0,0
381,62.5,12.5,0,25,0,37.5,50,62.5,0,0
382,62.5,12.5,0,25,0,37.5,50,62.5,0,0
383,62.5,12.5,0,25,0,37.5,50,62.5,0,0
384,62.5,12.5,0,25,0,37.5,50,62.5,0,0
385,62.5,12.5,0,25,0,37.5,50,62.5,0,0
386,62.5,12.5,0,25,0,37.5,50,62.5,0,0
387,62.5,12.5,0,25,0,37.5,50,62.5,0,0
388,62.5,12.5,0,25,0,37.5,50,62.5,0,0
389,62.5,12.5,0,25,0,37.5,50,62.5,0,0
390,62.5,12.5,0,25,0,37.5,50,62.5,0,0
391,62.5,12.5,0,25,0,37.5,50,62.5,0,0
392,62.5,12.5,0,25,0,37.5,50,62.5,0,0
393,62.5,12.5,0,25,0,37.5,50,62.5,0,0
394,62.5,12.5,0,25,0,37.5,50,62.5,0,0
395,62.5,12.5,0,25,0,37.5,50,62.5,0,0
396,62.5,12.5,0,25,0,37.5,50,62.5,0,0
397,62.5,12.5,0,25,0,37.5,50,62.5,0,0
398,62.5,12.5,0,25,0,37.5,50,62.5,0,0
399,62.5,12.5,0,25,0,37.5,50,62.5,0,0
400,62.5,12.5,0,25,0,37.5,50,62.5,0,0
401,62.5,12.5,0,25,0,37.5,50,62.5,0,0
402,62.5,12.5,0,25,0,37.5,50,62.5,0,0
403,62.5,12.5,0,25,0,37.5,50,62.5,0,0
404,62.5,12.5,0,25,0,37.5,50,62.5,0,0
405,62.5,12.5,0,25,0,37.5,50,62.5,0,0
406,62.5,12.5,0,25,0,37.5,50,62.5,0,0
407,62.5,12.5,0,25,0,37.5,50,62.5,0,0
408,62.5,12.5,0,25,0,37.5,50,62.5,0,0
409,62.5,12.5,0,25,0,37.5,50,62.5,0,0
410,62.5,12.5,0,25,0,37.5,50,62.5,0,0
411,55.5556,11.1111,11.1111,22.2222,0,33.3333,55.5556,55.5556,0,0
412,55.5556,11.1111,11.1111,22.2222,0,33.3333,55.5556,55.5556,0,0
413,60,10,10,20,0,30,50,50,0,0
414,60,10,10,20,0,30,50,50,0,0
415,60,10,10,20,0,30,50,50,0,0
416,60,10,10,20,0,30,50,50,0,0
417,60,10,10,20,0,30,50,50,0,0
418,60,10,10,20,0,30,50,50,0,0
419,60,10,10,20,0,30,50,50,0,0
420,60,10,10,20,0,30,50,50,0,0
421,60,10,10,20,0,30,50,50,0,0
422,60,10,10,20,0,30,50,50,0,0
423,60,10,10,20,0,30,50,50,0,0
424,60,10,10,20,0,30,50,50,0,0
425,60,10,10,20,0,30,50,50,0,0
426,60,10,10,20,0,30,50,50,0,0
427,60,10,10,20,0,30,50,50,0,0
428,60,10,10,20,0,30,50,50,0,0
429,60,10,10,20,0,30,50,50,0,0
430,60,10,10,20,0,30,50,50,0,0
431,60,10,10,20,0,30,50,50,0,0
432,60,10,10,20,0,30,50,50,0,0
433,60,10,10,20,0,30,50,50,0,0
434,60,10,10,20,0,30,50,50,0,0
435,60,10,10,20,0,30,50,50,0,0
436,60,10,10,20,0,30,50,50,0,0
437,60,10,10,20,0,30,50,50,0,0
438,60,10,10,20,0,30,50,50,0,0
439,60,10,10,20,0,30,50,50,0,0
440,60,10,10,20,0,30,50,50,0,0
441,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
442,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
443,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
444,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
445,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
